用户ID 用户昵称 用户头像地址 评论时间 点赞总数 评论内容
281395957 BGGS http://p1.music.126.net/I-faRbfViJZWYant4ZLI4A==/1375489058694478.jpg 1495541723913 0 只剩下叹息～这话说的
383809731 花间酿 http://p1.music.126.net/y860W0OTirhUDQs9fzFkUA==/19200771556024849.jpg 1495523005732 0 一年又一年，会时过境迁[流泪]
2482539 fuying http://p1.music.126.net/C_eX8sD0i7LGicslom2oeA==/1412872444550067.jpg 1495471841625 0 伽非珈而唱这种歌好浪费啊，曾经可是试音碟小天后
380406884 黑色---black http://p1.music.126.net/uGkHBPVPDzC6xc9WPCIR1A==/18517974836729241.jpg 1495363680591 0 小时候我们都有最想拥有的玩具
453309174 -旗木五五开- http://p1.music.126.net/67ODOkcnj9vD6V4NexOxFA==/18757668371811879.jpg 1495243593254 1 助攻
423182807 simrz http://p1.music.126.net/8D0OdSiKMpDEUNpRXkvzTw==/109951162925856061.jpg 1495197162987 2 我后悔自己没有去很多地方旅行，也后悔当时没有鼓起勇气去吻你……[心碎]
81754193 小萌kiki http://p1.music.126.net/Y0fRvtsxQexDkMcMct9BdQ==/3413983636810765.jpg 1495077632552 1 陪伴了我的高中[可爱]
442671488 Lastperson1703 http://p1.music.126.net/wvChnphsi3Mjxv6I-sNqsA==/19099616486151673.jpg 1494945045158 0 因为小徐喜欢这首歌，所以我一直在听
136320792 我一点儿都不想注册 http://p1.music.126.net/-jYpFOjTlCDFU8LIVnn4Sw==/528865152862851.jpg 1494940476320 2 我喜欢的那个妹子好像很喜欢这种甜甜的歌～～～
133535284 以一种假装放荡的矜持啊 http://p1.music.126.net/GSjWW1MzsOjl3aYO0eQg6w==/18784056650867200.jpg 1494835476739 0 你...你你你你也叫顾子逸嘛
337188686 清浅沉浮 http://p1.music.126.net/5f2nC47WQ-CxQEVlRMs_Qg==/19177681811858536.jpg 1494822274669 0 ……
337188686 清浅沉浮 http://p1.music.126.net/5f2nC47WQ-CxQEVlRMs_Qg==/19177681811858536.jpg 1494822264460 0 我不怎么看评论的
337188686 清浅沉浮 http://p1.music.126.net/5f2nC47WQ-CxQEVlRMs_Qg==/19177681811858536.jpg 1494822251960 0 为什么骂我😒
395720800 心晴233 http://p1.music.126.net/bWNfiprivMr4GYr7NpQKgw==/18680702557825711.jpg 1494775947632 0 这首歌评论为什么那么少啊，好可怜
453309174 -旗木五五开- http://p1.music.126.net/67ODOkcnj9vD6V4NexOxFA==/18757668371811879.jpg 1494752378657 0 没人
133535284 以一种假装放荡的矜持啊 http://p1.music.126.net/GSjWW1MzsOjl3aYO0eQg6w==/18784056650867200.jpg 1494430512855 3 我看看你能不能看到这个评论
133535284 以一种假装放荡的矜持啊 http://p1.music.126.net/GSjWW1MzsOjl3aYO0eQg6w==/18784056650867200.jpg 1494430499176 1 你不说你最近听这个嘛
133535284 以一种假装放荡的矜持啊 http://p1.music.126.net/GSjWW1MzsOjl3aYO0eQg6w==/18784056650867200.jpg 1494430480611 2 顾子逸你个臭狗屎
366635837 天势乾 http://p1.music.126.net/ZmpEePufSyC97broVb-ayg==/18755469347969143.jpg 1494344389557 2 这男的声音听的烦人，像被阉割了的太监，恶心
308437253 卡伊鲁 http://p1.music.126.net/kN_awUzfYFeY4iYBA9lVHQ==/18863221486191862.jpg 1494341429438 0 时间太快了/三年/想念
85232793 浅夏微光 http://p1.music.126.net/tnk2Yly4TIs_3G55F5c68Q==/7776845744530378.jpg 1494330254279 1 我就是觉得很好听，一点不想长大，虽然大二了，可是总是被人当做小朋友
468925869 蒋果果ovo http://p1.music.126.net/dmmEq3XLRNFiZGexGL46kw==/18947883881625330.jpg 1494288485695 3 也后悔当时没有鼓起勇气去吻你
52825345 Tlby http://p1.music.126.net/p1t7gfB_gx9H7doJzh800A==/18933590230447296.jpg 1494177360196 2 其实这种类型的歌，在人前不听，回到家戴着耳机偷偷听
119553401 星满长安道 http://p1.music.126.net/UWbdQFc5JctIP3BtsUEFbA==/3407386538559812.jpg 1494141597607 0 赞一下这首歌。
265596897 特工小孩 http://p1.music.126.net/fEcf1rn50pu85VfVXStWTw==/1383185634792624.jpg 1494121425797 3 999+助攻
357877769 阿肆的浪漫主义 http://p1.music.126.net/AEJGMwvIb_ULXEsEhXAhxA==/18629025511315013.jpg 1494111971041 1 为要去考试的我加油[吐舌]
388198393 弃我不顾麽 http://p1.music.126.net/1bJla74jgDGA-_DLHYh6oQ==/19238154951314752.jpg 1494106958217 1 有这首歌好久了
454230987 人皆惰性 http://p1.music.126.net/nV2MhkxSV0IHPVI7y9xkFw==/18762066418243955.jpg 1494079117496 1 好听呢
477182872 一只南楠 http://p1.music.126.net/j5E7QtH-JTt5aaJ0rKmKfQ==/18901704393205636.jpg 1494002808284 1 发个评论证明我来过
267721443 泷凌 http://p1.music.126.net/LMoyiiFREhEk-jAP147QHw==/18727981557821816.jpg 1493909963054 1 加油
267721443 泷凌 http://p1.music.126.net/LMoyiiFREhEk-jAP147QHw==/18727981557821816.jpg 1493909959660 1 支持
267721443 泷凌 http://p1.music.126.net/LMoyiiFREhEk-jAP147QHw==/18727981557821816.jpg 1493909955756 1 啦啦啦
121782898 左手光影 http://p1.music.126.net/GbHB58iXhkH7fI93-zqAKg==/18714787418047579.jpg 1493828443635 2 回踩
300621153 天上死去的星星依旧在夜空闪亮 http://p1.music.126.net/efCOUqRkEfNeXRjkFyvhbQ==/3250156384251130.jpg 1493743644079 3 今天起要在每一首日推和最近喜欢的歌里留下评论 万一我就遇到了臭味相投的女票呢  [口罩]都不知道你躲在哪首歌身后
446700018 薛之谦谦谦谦谦谦谦1703 http://p1.music.126.net/o1U0X36v62le1Yzt-QbZjA==/3406287027998940.jpg 1493726595294 2 竟然没过999+
351309133 用户351309133 http://p1.music.126.net/HJbpKrdcX25GaVQk20nmSA==/19138099393195735.jpg 1493642713647 1 顶。
122571876 杨文利哈哈哈哈 http://p1.music.126.net/bF7FCBg_J0rl-kz8Fq8H-A==/19016053602432316.jpg 1493622703375 1 很喜欢这首歌的歌词啊😃
301632998 阿包balabala http://p1.music.126.net/WHWAHBBU_gpGarKYQqyzpA==/18649916232245772.jpg 1493611823821 1 曾经全民k歌上挺多人唱这首歌。
256861890 我是你熹哥 http://p1.music.126.net/YZ6kcwp4ma_S7adMerV48A==/18870918067617690.jpg 1492962772742 0 说实话妹子唱的比男的唱的好听
374864513 长岛亓屿 http://p1.music.126.net/Qak7tz8U9h4uM-c02QPZtg==/18881913183978160.jpg 1492927965720 1 为啥这首歌评论没有999+呢？明明这么好听的说[哀伤]
379031004 努力的吴思奇 http://p1.music.126.net/KoT9bpwSRDgUiMPF4goUqg==/18555358231987447.jpg 1492699360921 0 做了嘻嘻
430489637 时间蒼白了嗜言 http://p1.music.126.net/_OrYmIF3TcLu8H5-4q3qaw==/18500382650791031.jpg 1492693526369 0 老铁没毛病
379031004 努力的吴思奇 http://p1.music.126.net/KoT9bpwSRDgUiMPF4goUqg==/18555358231987447.jpg 1492575164310 9 如果有人赞我一下十个俯卧撑说到做到。君子一言，驷马难追。
387920516 国男吗 http://p1.music.126.net/NNUDkGviUQ2FLuvkmMnqlw==/18710389371526953.jpg 1492566761208 3 999＋助攻
131065165 故梦丶ss http://p1.music.126.net/p3o0XMcLYzy4Fm_9LPBbrg==/19098516974641717.jpg 1492526498972 1 [呆]
446477744 奥利奥和布丁 http://p1.music.126.net/0RY6buuahyjB78fu7zbcDw==/18918197067566013.jpg 1492525456699 2 没人觉得高潮和虐心一样一样的么
309258466 oWn没有眼泪的梦 http://p1.music.126.net/YuF4tFXXHHaVBOzv3trvZg==/3420580712360278.jpg 1492474944890 1 没有人觉得像爱很美的调调吗
331129695 深濑喵cheese http://p1.music.126.net/aIM1zRDcV_w28yxrnSKxGg==/1367792480467852.jpg 1492429657484 0 大二的时候朋友推荐的歌
271900973 来自远方彼岸的呼声 http://p1.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg 1492168603832 5 小时候，盼望着长大；长大后，期盼着回到童年。
122153205 小锦里 http://p1.music.126.net/Udzz-Dw0wIwweuvfuRcQcQ==/19191975462924855.jpg 1491920887241 2 原来曾经我听过的歌那么少人听过真好[皱眉]
37482744 BaeLin2 http://p1.music.126.net/Roq_KcXvdG_ymSeIuUJncQ==/18741175697383862.jpg 1491916870714 1 蛮文艺的名字
115945197 罐装萤火虫 http://p1.music.126.net/OpiXBJnxoAjOdUDVjUiCAQ==/3287539770034843.jpg 1491824592241 0 女朋友推荐给我听的
400084433 yuhan最爱的雨 http://p1.music.126.net/TH7V2YU1NDvfz4PMzVJllw==/18620229418300965.jpg 1491718780175 0 好好听
121912365 猪蹄豆腐炖红枣 http://p1.music.126.net/l_Fp6J3koMf7Z_tgmSOvaA==/19030347253569260.jpg 1491718632146 0 好甜呀
312616928 星河清浅丶 http://p1.music.126.net/eUMJgkmzSWr_mW4e65zIiA==/1420569037038525.jpg 1491709826220 1 久别重逢就像在网易云评论的海洋里看到你，除了一瞬间的惊喜，就只剩下心酸。
386044210 飞鸟与离梦 http://p1.music.126.net/al7EwRTY-eknmBNcAVLPhQ==/19187577416503815.jpg 1491662775807 2 心里苦的人，就应该多听听这种甜美的调子
313647854 等待ay http://p1.music.126.net/uX42oj_vdBOgcc5iSc__2A==/19075427230476362.jpg 1491639476457 0 感谢经历
253537741 称心否 http://p1.music.126.net/aRHPuAfFDPsLvwwPZPgN-g==/18535567022952191.jpg 1491590160288 0 那麼甜？
296542975 栗小木听歌的地方 http://p1.music.126.net/aN62V82XS5QVh3TsxG2hSA==/109951162883350446.jpg 1491495055689 0 有了网易云音乐 现在已经不需要去问店主 可以自动识别哦
435898922 林枫桥 http://p1.music.126.net/_V4h84xfty2jGnJe5nMyrw==/3418381658180385.jpg 1491307735509 0 很有感触!
58462842 白色_比木鱼 http://p1.music.126.net/Du10YVYzAY3cs_qS4TYXHg==/19040242858386901.jpg 1491268350809 0 以前都没太注意过，有一次发现后才开始观察的[大哭][大哭][大哭]
61086273 真-紫府朝垣 http://p1.music.126.net/r4-hEhy9r7yEjoFcx1g_aw==/19054536509474018.jpg 1491267908097 1 大多数的华语歌都是这样的吧
364040256 礼物一定挑最贵 http://p1.music.126.net/U2hooEjMy0vtvwKyrAwarg==/18817041999414702.jpg 1491208032966 2 歌词写的太对了，深入人心
58462842 白色_比木鱼 http://p1.music.126.net/Du10YVYzAY3cs_qS4TYXHg==/19040242858386901.jpg 1491138954136 0 这首歌的最后一个字是押韵的诶[憨笑][憨笑][憨笑]
84792034 卤蛋想吃肉 http://p1.music.126.net/1sfOmx8CUVNUzYXC9-gXtA==/18914898532746541.jpg 1491032438610 5 这么说来，还多亏当时鼓起勇气亲了你哦~~[憨笑]
328672242 一个想当英雄的小兵 http://p1.music.126.net/hDfPew12JjVCA99TRzAFOQ==/19104014532805614.jpg 1491020626683 0 [憨笑][憨笑][憨笑]
347092460 Zioxg-Lones http://p1.music.126.net/Tl_MDzsgxriGdPbwTU06yw==/18493785580936197.jpg 1490932690228 1 爱我的点赞哦么么哒[亲亲]
262150230 一叶横飞过大海 http://p1.music.126.net/uoO1-j3TOomlMLi35fNIbQ==/3426078233435928.jpg 1490779373376 1 前江后浪推前浪，前浪死在沙滩上
335845237 _leegf http://p1.music.126.net/7p52GsG-GWTjCmkMoS0rHA==/109951162926326418.jpg 1490760987192 0 能想象到的美好
431070843 2013年花式撸管锦标赛冠军 http://p1.music.126.net/0ZjPufn79mP4jljz-BSZlg==/18705991325238093.jpg 1490669713764 0 但是玩的时候才开第23区   战力第一才一万加，魔晶排行榜第一都才1亿加，想想那也是六七年的事情了
299489829 Accompany丶Ln http://p1.music.126.net/NxxrDI3jg1SqJwe6iD4wtA==/18663110371650610.jpg 1490541946643 1 初中回忆，她以及那段时光吧
317096531 醉影微醺c http://p1.music.126.net/2bFqWUiz79ydt469mWCMag==/3418381661680507.jpg 1490285215336 3 打个卡吧，很好听的歌
329489913 满汉特曼粑粑的小漂亮 http://p1.music.126.net/hbfQZiWABWSnto8eQ-fK2A==/18519074348470697.jpg 1490270153640 2 小岁月太着急，总让人措手不及😭
